pid,trial,task,numberClicks,clicks,score,FSQ,CA,status,dropoutIndex,condition,conditionType,age,gender,naive,feedback,totalTime,firstBlock,exclusion,RT_attemptsQuiz,MG_attemptsQuiz
21,5,mortgage,3,"[0, 1, 2]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,24,other,False,,10.7,mortgage,True,1,1
21,6,mortgage,3,"[6, 1, 4]",0,0.0,0.0,3,5,0,control,24,other,False,,10.7,mortgage,True,1,1
21,7,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,24,other,False,,10.7,mortgage,True,1,1
22,0,mortgage,3,"[2, 4, 8]",0,0.6666666666666666,0.6666666666666666,3,5,0,control,25,female,False,,17.6,mortgage,True,1,1
22,1,mortgage,3,"[6, 4, 2]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,25,female,False,,17.6,mortgage,True,1,1
22,2,mortgage,3,"[8, 4, 0]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,25,female,False,,17.6,mortgage,True,1,1
22,3,mortgage,3,"[7, 4, 2]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,25,female,False,,17.6,mortgage,True,1,1
22,4,mortgage,3,"[6, 2, 5]",0,0.6666666666666666,0.6666666666666666,3,5,0,control,25,female,False,,17.6,mortgage,True,1,1
22,5,mortgage,3,"[8, 4, 0]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,25,female,False,,17.6,mortgage,True,1,1
22,6,mortgage,3,"[6, 4, 2]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,25,female,False,,17.6,mortgage,True,1,1
22,7,mortgage,3,"[8, 5, 2]",1,1.0,1.0,3,5,0,control,25,female,False,,17.6,mortgage,True,1,1
23,0,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,65,female,False,,22.5,mortgage,True,2,1
23,1,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,65,female,False,,22.5,mortgage,True,2,1
23,2,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,65,female,False,,22.5,mortgage,True,2,1
23,3,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,65,female,False,,22.5,mortgage,True,2,1
23,4,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,65,female,False,,22.5,mortgage,True,2,1
23,5,mortgage,3,"[8, 5, 2]",1,1.0,1.0,3,5,0,control,65,female,False,,22.5,mortgage,True,2,1
23,6,mortgage,3,"[8, 5, 2]",1,1.0,1.0,3,5,0,control,65,female,False,,22.5,mortgage,True,2,1
23,7,mortgage,3,"[8, 5, 2]",1,1.0,1.0,3,5,0,control,65,female,False,,22.5,mortgage,True,2,1
